wp,68,195
cx,94,140
tr,80,165
ed,95,142
nr,78,180
fj,77,185
gj,60,169
cs,43,158
oj,92,181
rc,65,183
qa,80,163
mr,70,168
uu,59,142
ly,86,195
nv,45,160
ex,91,163
vc,61,155
fj,80,185
fk,63,146
gv,52,167
ym,57,164
kt,86,148
be,53,174
yi,52,196
bd,92,177
zd,52,192
jd,73,186
lh,56,171
eu,48,165
gp,95,193
rm,45,169
af,81,168
ah,69,186
bx,81,155
ye,88,165
qp,51,163
kc,91,181
im,90,145
hd,63,149
hz,91,155
eh,88,171
gy,83,155
rg,85,199
at,62,168
gk,40,169
pm,68,142
tu,59,161
ko,76,183
te,62,183
zj,77,164
ki,96,194
jf,97,185
qg,42,164
im,68,158
tv,82,186
ye,67,161
uh,96,184
ap,85,198
oc,64,176
pt,81,145
qt,97,185
ai,97,191
vr,56,163
ng,86,179
lt,73,175
cr,84,160
oc,49,142
gz,88,165
io,53,150
ba,52,154
pb,97,189
dg,93,190
nz,56,143
zn,40,194
ff,67,150
ud,60,191
lm,84,159
dv,63,164
ne,46,147
mx,63,160
wf,47,148
nq,62,163
ol,62,158
wv,47,158
sa,61,188
aq,61,159
nj,51,183
uu,52,188
ju,76,169
xt,81,162
dz,78,162
lx,87,142
zu,89,170
bi,85,190
si,75,178
fz,65,161
nx,80,172
fu,69,172
nx,85,142
um,47,168
mv,79,149
cv,88,145
xa,99,164
bd,88,145
xk,74,193
nh,62,174
dr,93,175
ci,45,187
mk,64,144
up,44,170
lv,80,165
bw,50,194
bk,79,186
sf,78,149
wa,54,145
jq,56,191
gl,44,182
av,91,172
zy,70,175
hf,86,168
ym,87,180
sl,89,159
zk,76,150
rh,85,145
ly,57,153
wf,88,175
ai,58,177
vj,62,156
gr,40,163
sv,53,164
qv,93,190
xq,66,149
ws,91,172
jl,99,168
mt,56,193
gw,65,194
dq,46,151
iu,62,198
df,63,143
gl,86,186
yk,58,162
gk,63,156
mt,81,193
nq,91,143
uf,52,197
ry,40,171
nv,75,186
fu,76,198
od,88,198
jg,47,168
jq,50,142
fi,87,152
gs,72,174
ak,87,188
tu,94,190
jd,49,157
kg,40,176
aj,68,190
zs,95,182
nd,90,190
qk,40,150
qo,74,197
ak,46,156
xf,67,174
ds,59,174
id,57,143
sk,75,156
oi,97,196
uo,56,172
zb,69,166
rd,59,158
ta,47,184
kc,42,141
ew,75,159
vk,59,155
fr,75,142
ym,43,142
fh,50,147
bc,43,147
hd,58,162
rw,52,196
hq,85,180
ly,50,192
et,89,143
ak,57,187
je,85,148
zm,78,196
qw,86,181
da,80,158
no,99,197
oq,89,186
om,71,169
ob,64,193
ay,48,146
lb,82,197
sb,68,172
js,51,142
nl,88,156
wb,69,191
ju,64,162
hv,56,176
kw,60,196
hg,54,143
uf,43,189
pi,47,176
ss,63,143
kq,73,163
xq,69,176
gt,78,194
tp,43,177
gu,94,178
ap,85,166
ou,96,162
nn,70,151
vc,79,183
ml,98,179
qd,61,159
hx,65,146
lv,49,153
ic,93,140
yc,58,194
ye,75,184
jd,98,192
xl,98,176
ii,66,168
zi,71,156
sy,96,165
mo,47,198
af,46,197
xn,98,171
wd,40,167
rp,99,161
sw,63,156
gr,65,161
gv,46,178
rr,65,149
wd,47,196
to,50,159
bu,46,193
fw,41,199
dj,58,197
pv,66,181
uz,99,196
xh,40,179
cy,69,184
qi,89,156
sm,55,194
fr,46,176
bm,79,149
el,86,171
fc,91,191
vv,76,142
li,47,154
bi,80,164
xo,43,165
ql,55,141
zu,44,190
cs,48,153
ly,51,183
wq,93,179
ac,72,159
sv,66,190
mj,69,180
mu,45,163
zv,78,142
yi,40,161
ea,55,179
jn,41,189
wh,54,184
bm,77,181
ou,61,155
oj,98,185
fd,90,163
lg,62,180
jr,84,158
sp,81,196
hb,73,178
kn,66,193
pi,86,142
rr,82,186
yy,91,144
aq,73,147
ze,88,178
hc,68,187
up,41,166
kx,68,169
et,80,198
se,50,181
vw,67,148
yc,87,190
is,75,187
sd,61,148
jg,59,164
xz,79,192
yv,78,161
rd,90,140
jh,56,150
id,43,183
fh,82,151
eh,47,195
gu,77,147
ty,69,152
as,87,141
oi,48,199
ng,73,140
kp,91,148
xb,90,147
yk,64,141
ec,43,190
aa,52,173
gz,95,192
lj,81,157
lm,97,145
zh,82,197
cd,48,157
gk,54,197
hl,47,166
oh,64,165
ff,80,158
gy,97,145
nf,74,170
pa,66,182
nf,96,175
gt,43,160
xl,42,150
yb,92,148
qe,56,150
jl,71,177
kc,51,185
va,41,183
ja,41,195
pj,72,174
kw,55,140
mv,90,199
ye,61,199
wu,89,172
nb,40,194
nf,85,190
np,43,181
tf,95,166
xn,72,187
ke,94,182
hj,42,159
lf,96,152
dm,55,144
td,40,186
ed,66,190
ff,97,171
ep,47,176
fe,42,156
pq,58,168
uu,80,176
id,53,140
az,98,140
ua,57,146
xe,75,153
sn,90,186
qq,98,176
yw,44,198
mi,44,190
gz,55,198
on,80,162
wm,85,173
cw,97,151
uz,41,183
xu,75,164
lt,99,147
md,92,199
rq,82,189
qf,59,187
tt,65,151
ga,86,187
wx,48,142
be,71,181
et,90,192
ie,57,188
tk,66,192
rq,62,190
bc,87,180
sx,46,197
en,88,142
qe,42,182
zy,76,190
tq,48,198
je,79,189
wh,66,170
pb,98,159
io,64,146
ys,79,168
qg,77,149
nc,70,174
gs,40,171
bu,46,167
xa,59,173
eh,80,184
hy,72,162
bp,72,185
gs,44,186
ep,89,143
df,58,183
wk,53,167
en,58,178
wi,49,153
ws,54,143
on,56,188
my,98,145
yd,72,142
ki,56,150
do,83,140
ef,72,181
oy,45,144
ob,76,145
hs,55,167
br,78,163
vi,43,165
sw,65,145
nc,90,188
le,64,197
gu,73,179
dy,55,165
ci,60,166
ps,52,174
fp,56,194
rp,98,193
ld,84,184
mn,98,197
dx,47,191
je,63,156
iy,44,176
xp,43,190
fe,55,168
db,43,153
rz,45,153
bh,56,156
yi,69,145
ek,44,149
uk,89,189
na,88,181
sl,96,141
fc,63,160
vy,77,194
be,86,196
iq,48,167
ig,51,167
gy,74,188
xx,53,159
zg,65,154
rs,46,189
mb,73,149
ho,77,194
jw,93,166
iu,56,160
ra,64,185
ep,59,167
mo,96,191
rv,57,143
wx,49,192
qh,73,169
fs,57,161
uw,41,162
av,96,160
id,99,193
yp,77,172
mj,86,190
bb,65,143
mi,66,143
gl,63,143
qv,96,140
se,41,165
sd,64,169
nz,64,195
ry,81,188
io,55,151
op,68,146
lb,41,193
nr,81,148
bq,71,187
up,85,169
bg,47,149
nb,55,181
he,98,188
gg,60,184
eh,42,159
ba,56,156
sl,56,156
qx,42,149
nu,82,182
wg,92,180
si,54,146
li,88,143
ze,54,186
wx,45,165
mo,86,170
ai,93,170
oj,61,175
xq,85,199
zb,90,190
bg,56,161
ym,84,170
ej,49,175
iq,73,146
np,88,168
hu,99,175
wy,46,184
mk,84,185
hg,89,152
yn,43,147
oi,55,178
er,81,153
gg,77,175
pp,90,154
wh,82,197
mw,70,148
bn,90,149
zw,40,154
wp,58,152
zu,86,170
iq,62,173
fi,95,155
pg,73,189
jl,70,194
rv,43,191
di,40,149
ov,72,165
du,73,176
jk,82,193
fl,90,162
hn,46,154
qs,95,175
qk,46,191
sa,44,145
yx,66,169
kq,48,192
mw,60,162
dp,40,141
rp,48,192
dx,63,183
ut,84,194
ah,51,174
np,84,182
ux,78,196
rx,63,177
go,53,146
zk,93,170
ke,56,171
bg,70,166
ya,94,177
bz,58,194
xr,94,186
ro,42,161
un,55,164
eo,63,175
ld,60,175
jl,76,194
dz,82,183
eo,47,141
yd,86,192
ec,47,140
hq,71,166
eu,73,167
jk,68,172
uo,54,147
ws,73,166
iv,61,172
ql,80,198
te,90,148
bn,40,148
fy,42,153
pj,71,158
xf,46,171
gk,70,156
te,44,194
su,57,161
hl,82,164
yd,74,163
ho,53,178
xe,63,189
yl,89,188
jw,75,145
vc,67,159
yr,68,196
tp,89,178
eq,45,190
rk,86,172
ca,45,176
uv,62,173
wc,74,175
nf,68,198
fe,89,176
dr,98,145
er,42,163
ph,82,189
fi,67,199
ti,47,187
ee,41,194
ma,73,144
xp,95,172
dn,46,149
jy,71,187
dk,56,147
uu,53,164
dt,64,194
wc,73,182
fp,86,167
pp,92,187
ef,88,147
gq,83,196
mv,83,194
yh,95,168
dj,66,169
cx,83,163
re,50,198
qd,54,175
ih,97,145
qr,83,161
yr,50,192
mr,93,193
qc,59,151
wg,90,194
dg,48,184
kf,49,141
iq,47,189
ip,60,141
tk,53,159
os,42,148
qd,54,148
fm,69,190
xv,60,179
ob,40,196
ms,86,174
iu,47,193
tj,71,152
mr,72,190
xj,40,185
cv,88,184
kn,52,174
pf,94,185
zz,70,192
ns,69,187
sw,43,163
me,69,148
qu,56,173
zh,70,190
od,76,176
vj,42,185
vx,85,144
rg,89,170
qp,40,181
mt,61,162
ug,65,140
yh,68,196
fv,82,185
gr,91,157
ww,49,191
jm,94,169
pw,82,178
gm,42,181
qu,81,196
yf,85,180
st,75,186
li,59,167
ib,98,161
wp,89,156
is,56,179
rj,43,143
hk,83,194
el,59,164
dg,87,194
et,96,149
hb,98,164
qu,76,187
xj,44,198
zz,82,140
